"Distance [mm]"	"Bt []"
133.10904	0.0332484837420086
133.323732	0.0260921141713895
133.538424	0.0211134494247232
133.753116	0.018142938637157
133.967808	0.0155071501919064
134.1825	0.0136092148029285
134.397192	0.0118144312205968
134.611884	0.010124361243695
134.826576	0.00854055395222546
135.041268	0.00661520485695809
135.25596	0.0062258464439192
135.470652	0.00707475800892027
135.685344	0.00798146356804252
135.900036	0.00538769453446568
136.114728	0.00476749135898778
136.32942	0.0041855790499966
136.544112	0.0036433726954321
136.758804	0.00215147225172182
136.973496	0.00331444453737348
137.188188	0.00544005354156383
137.40288	0.00810761532503197
137.617572	0.00504436228582925
137.832264	0.00769246639658773
138.046956	0.0103740387469971
138.261648	0.0130900080467464
138.47634	0.0190677502716497
138.691032	0.0218054446503122
138.905724	0.0234895771498299
139.120416	0.0214951547864028
139.335108	0.0220859141073673
139.5498	0.0199374983032884
139.764492	0.01781653160491
