"Distance [mm]"	"Distance/($D/2-$g/2)*180/pi []"	"Br []"
115.074912	192.909837900874	0.0212631128038448
115.289604	193.269744314868	0.119149547058301
115.504296	193.629650728862	0.217141450300454
115.718988	193.989557142856	0.402118499553917
115.93368	194.34946355685	0.49756479552233
116.148372	194.709369970844	0.582403438580762
116.363064	195.069276384838	0.620801974943368
116.577756	195.429182798833	0.689819177805547
116.792448	195.789089212827	0.713640482900693
117.00714	196.148995626821	0.753151330245101
117.221832	196.508902040815	0.782801377361969
117.436524	196.868808454809	0.798478608372966
117.651216	197.228714868804	0.817715783239952
117.865908	197.588621282798	0.833613120088212
118.0806	197.948527696792	0.839848155992187
118.295292	198.308434110786	0.851218771520542
118.509984	198.66834052478	0.86097437029474
118.724676	199.028246938774	0.869737450751322
118.939368	199.388153352769	0.871519475780446
119.15406	199.748059766763	0.873928041624516
119.368752	200.107966180757	0.882876191448402
119.583444	200.467872594751	0.890661654587081
119.798136	200.827779008745	0.889397600318617
120.012828	201.187685422739	0.899086841966998
120.22752	201.547591836734	0.894836484271411
120.442212	201.907498250728	0.890624362073103
