"Distance [mm]"	"Flux_Lines []"
155.222316	0.00175121803277142
155.437008	0.0019470347091773
155.6517	0.0021454264132674
155.866392	0.00234216657482897
156.081084	0.00253166384816658
156.295776	0.00273651987292752
156.510468	0.00292066858047535
156.72516	0.00309437205565916
156.939852	0.00325542176557492
157.154544	0.00340342636157991
157.369236	0.00354335917095083
157.583928	0.00368245987375564
157.79862	0.00381961064532519
158.013312	0.00396473406340362
158.228004	0.00412097800012498
158.442696	0.00428715733304596
158.657388	0.0044649236139237
158.87208	0.0046589909596507
159.086772	0.00482998925933123
159.301464	0.00500213472571079
159.516156	0.00517038400696545
159.730848	0.00532698377692717
159.94554	0.00546637536597015
160.160232	0.00558957094970172
160.374924	0.00570023071541218
160.589616	0.00578311225923014
160.804308	0.00583660100920892
161.019	0.00585333963752642
161.233692	0.00584802950851562
161.448384	0.0058157907655884
161.663076	0.00575016734017021
161.877768	0.00566062516145408
162.09246	0.005548932613552
162.307152	0.00541880358416392
162.521844	0.00527791863090953
162.736536	0.00512514905368596
162.951228	0.00496568990854755
163.16592	0.00480102385539987
163.380612	0.00463047138397904
163.595304	0.00445676098918709
163.809996	0.0042798526895409
164.024688	0.00410023623373833
164.23938	0.00391755056806485
164.454072	0.00373314166230676
164.668764	0.00354712368042331
164.883456	0.00335949670867268
165.098148	0.00317023759258682
165.31284	0.00297932728322099
165.527532	0.00278723320183858
165.742224	0.00259539155988424
165.956916	0.00240365389990642
166.171608	0.00220985724787636
166.3863	0.00201440306831666
166.600992	0.0018184929441619
166.815684	0.00162165927763184
167.030376	0.00142492046698923
167.245068	0.00122856952387878
167.45976	0.00103327266971209
