"Time [ms]"	"-Moving1.LoadTorque [NewtonMeter]"	"Moving1.Torque [NewtonMeter]"
70.4613999999992	-0	0.0366841993368993
70.5755999999992	-0	-0.00767165515618191
70.6897999999992	-0	-0.0128021743378034
70.8039999999992	-0	0.0637370341404735
70.9181999999992	-0	0.235356427242005
71.0323999999992	-0	0.496968924275089
71.1465999999992	-0	0.257308985065329
71.2607999999992	-0	0.173606269283524
71.3749999999992	-0	0.0980422248581996
71.4891999999992	-0	0.0525939724852383
71.6033999999992	-0	0.0805895666600938
71.7175999999991	-0	0.201993608567687
71.8317999999991	-0	0.41903696682763
71.9459999999991	-0	0.208753384350181
72.0601999999991	-0	0.129554996024079
72.1743999999991	-0	0.0530220922995597
72.2885999999991	-0	0.0049832022140422
72.4027999999991	-0	0.0160684454151216
72.5169999999991	-0	0.0966089126281147
72.6311999999991	-0	0.282010861956797
72.7453999999991	-0	0.149760018693311
72.8595999999991	-0	0.0908848097578983
72.9737999999991	-0	0.0173328573456965
73.0879999999991	-0	-0.0457663448384104
73.2021999999991	-0	-0.0584004655628964
73.3163999999991	-0	-0.00357721636937433
73.4305999999991	-0	0.149357317757628
73.5447999999991	-0	0.396657673643978
73.6589999999991	-0	0.190655362413999
73.7731999999991	-0	0.115111274392779
73.887399999999	-0	0.031606115764565
74.001599999999	-0	-0.00426262576231355
74.115799999999	-0	0.0185362882344533
74.229999999999	-0	0.119089199984201
74.344199999999	-0	0.322411889341355
74.458399999999	-0	0.160957709553254
74.572599999999	-0	0.0957527228244806
74.686799999999	-0	0.0135480447937151
74.800999999999	-0	-0.0366503857837238
74.915199999999	-0	-0.0396338171394245
75.029399999999	-0	0.0361593645206513
75.143599999999	-0	0.199359339676475
75.257799999999	-0	0.458091234979702
75.371999999999	-0	0.227155719044454
75.486199999999	-0	0.147901840121076
75.600399999999	-0	0.0700500080867478
75.714599999999	-0	0.00411262456109984
75.828799999999	-0	0.042066939447442
75.942999999999	-0	0.152278988222253
76.057199999999	-0	0.37575199525489
76.1713999999989	-0	0.185512893769358
76.2855999999989	-0	0.115921461786556
76.3997999999989	-0	0.0340616324509967
76.5139999999989	-0	-0.0185292022150158
76.6281999999989	-0	-0.00993672788123046
76.7423999999989	-0	0.0609701901057943
76.8565999999989	-0	0.243768183428145
76.9707999999989	-0	0.132616258063095
77.0849999999989	-0	0.075906834702634
77.1991999999989	-0	-0.00299039512184594
77.3133999999989	-0	-0.0590866278519659
77.4275999999989	-0	-0.0816473856104815
77.5417999999989	-0	-0.0220806414725731
77.6559999999989	-0	0.122976679562925
77.7701999999989	-0	0.358055550127172
77.8843999999989	-0	0.172150223979991
77.9985999999989	-0	0.098982395091646
78.1127999999989	-0	0.0174508188585777
78.2269999999989	-0	-0.0250453420009799
78.3411999999988	-0	-0.0144419892893222
78.4553999999988	-0	0.0887153214396297
78.5695999999988	-0	0.287754441426901
78.6837999999988	-0	0.146767589983392
78.7979999999988	-0	0.0868340011596731
78.9121999999988	-0	0.00718194155885367
79.0263999999988	-0	-0.0478662402178986
79.1405999999988	-0	-0.0536309533280631
79.2547999999988	-0	0.0104234547699103
79.3689999999988	-0	0.171206103619329
79.4831999999988	-0	0.424046799263098
79.5973999999988	-0	0.208671038548059
79.7115999999988	-0	0.129219942252084
79.8257999999988	-0	0.0461623304616868
79.9399999999988	-0	0.0143612519760154
80.0541999999988	-0	0.0438946879926361
80.1683999999988	-0	0.148828314643401
80.2825999999988	-0	0.358264793947207
80.3967999999988	-0	0.176415802906799
80.5109999999988	-0	0.112542435945904
80.6251999999987	-0	0.0289525339916735
80.7393999999987	-0	-0.0214479821555183
80.8535999999987	-0	-0.0193289667543845
80.9677999999987	-0	0.056747752587547
81.0819999999987	-0	0.236023853416151
81.1961999999987	-0	0.495777623319293
81.3103999999987	-0	0.26121815644052
81.4245999999987	-0	0.170979055938613
81.5387999999987	-0	0.0948453640852078
81.6529999999987	-0	0.0477481764045432
81.7671999999987	-0	0.0736360848068745
81.8813999999987	-0	0.195559342664763
81.9955999999987	-0	0.418772779759062
82.1097999999987	-0	0.207525401565399
82.2239999999987	-0	0.129881169479181
82.3381999999987	-0	0.0532477956506024
82.4523999999987	-0	0.00358790884439445
82.5665999999987	-0	0.0157107309281491
82.6807999999987	-0	0.096243622827511
82.7949999999986	-0	0.27888587501656
82.9091999999986	-0	0.150279577718489
83.0233999999986	-0	0.0912373302033387
83.1375999999986	-0	0.0116832687464425
83.2517999999986	-0	-0.0455914633242668
83.3659999999986	-0	-0.0607839462771255
83.4801999999986	-0	0.00172615185654266
83.5943999999986	-0	0.152706944385232
