"Time [ms]"	"BranchCurrent(Vi_a) [A]"	"BranchCurrent(Vi_b) [A]"	"BranchCurrent(Vi_c) [A]"
32.6611999999998	1.61225340606607	-0.000301575858983799	-1.61195183020708
32.7753999999998	1.71890978738535	-0.000146564117868649	-1.71876322326748
32.8895999999998	1.84607185740537	-0.000235227489599947	-1.84583662991577
33.0037999999998	2.00164040445754	-0.000327795004156112	-2.00131260945338
33.1179999999998	2.1930472498135	-0.000413855045536198	-2.19263339476796
33.2321999999998	2.43957352026698	-0.000494389871673938	-2.43907913039531
33.3463999999998	1.47633047684794	0.574799449485184	-2.05112992633312
33.4605999999998	0.714733007933587	1.03712270521797	-1.75185571315156
33.5747999999998	0.000648549444917323	1.47525744140152	-1.47590599084643
33.6889999999998	2.3467885458113E-05	1.57444286808015	-1.57446633596561
33.8031999999998	0.000115927071025478	1.6728739116202	-1.67298983869122
33.9173999999998	0.000197826170468788	1.79533941259207	-1.79553723876254
34.0315999999998	0.000298550301428086	1.93803579900656	-1.93833434930799
34.1457999999998	0.000382443409138732	2.11779123410935	-2.11817367751849
34.26	0.000468684866554043	2.34129484316909	-2.34176352803564
